#{"t_start": 1696907060.4400942, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,5,102.710252
2.0,23,102.943325
0.0,5,102.985596
0.0,5,103.037597
0.0,5,103.108842
0.0,5,103.166418
0.0,5,103.237554
0.0,5,103.299402
0.0,5,103.362693
0.0,5,103.424611
0.0,5,103.474685
0.0,5,103.544686
0.0,5,103.597476
2.0,23,103.856818
0.0,5,103.89889
0.0,5,103.93789
0.0,5,104.003976
0.0,5,104.045717
0.0,5,104.114228
0.0,5,104.175337
2.0,23,104.425817
0.0,5,104.499819
2.0,23,104.730651
0.0,5,104.810732
0.0,5,104.883895
0.0,5,104.943091
0.0,5,105.028139
0.0,5,105.089225
2.0,23,105.351413
0.0,5,105.421415
0.0,5,105.472219
0.0,5,105.548858
0.0,5,105.600858
0.0,5,105.65326
0.0,5,105.720833
0.0,5,105.771703
0.0,5,105.839835
0.0,5,105.909864
2.0,23,106.284585
0.0,5,106.35361
0.0,5,106.41875
0.0,5,106.484228
0.0,5,106.541224
2.0,21,109.447311
0.0,5,109.518759
0.0,5,109.579964
0.0,5,109.655409
0.0,5,109.69941
0.0,3,109.727418
0.0,5,109.80856
0.0,5,109.869914
3.0,36,110.224511
0.0,3,110.253965
0.0,5,110.294965
2.0,24,110.57733
0.0,5,110.624306
0.0,5,113.357582
0.0,5,113.431583
0.0,5,113.484584
1.0,14,113.651127
0.0,5,113.717307
0.0,5,113.792886
1.0,16,113.981322
0.0,5,114.037178
0.0,5,114.081178
0.0,5,114.131253
0.0,5,114.224606
0.0,5,114.298602
0.0,5,114.372422
0.0,5,114.426422
0.0,5,114.476614
0.0,5,114.542501
0.0,5,114.595573
2.0,27,117.894966
1.0,11,118.005968
0.0,5,118.065309
0.0,5,118.165178
0.0,5,118.218624
0.0,3,118.257625
0.0,5,118.32088
0.0,5,118.382018
1.0,16,118.596695
0.0,5,118.679771
1.0,15,118.822341
1.0,17,119.036543
0.0,3,119.066355
2.0,23,119.305198
0.0,5,119.365199
0.0,3,121.981437
0.0,5,122.038438
3.0,40,122.466568
0.0,5,122.54501
0.0,5,122.607517
0.0,5,122.661137
0.0,5,122.714443
0.0,3,122.760444
1.0,12,122.872092
0.0,5,122.924025
0.0,5,122.990096
0.0,5,123.045537
0.0,5,123.116232
0.0,5,123.18323
0.0,5,123.225243
1.0,16,123.393318
0.0,3,126.181596
0.0,3,126.216953
0.0,5,126.292835
2.0,27,126.573807
0.0,5,126.659808
0.0,5,126.718172
1.0,12,126.820775
0.0,5,126.896246
0.0,5,126.959382
0.0,5,127.012992
0.0,5,127.076994
3.0,40,127.475533
1.0,12,130.755124
0.0,5,130.816463
0.0,5,130.88198
0.0,3,130.921051
0.0,5,130.97024
0.0,5,131.034682
0.0,3,131.074845
0.0,3,131.124214
0.0,5,131.192745
2.0,21,131.420924
